START_TIME,PROBLEM_DESCRIPTION,END_TIME,ACKNOWLEDGE_MESSAGE,DURATION,HOSTNAME,Severity_Description
29-09-2023 09:22,Zabbix proxy: Utilization of http poller processes is high,29-09-2023 09:23,,0d 0h 1m 0s,Zabbixproxy,Warning
29-09-2023 09:22,Zabbix proxy: Utilization of http poller processes is high,29-09-2023 09:23,,0d 0h 1m 0s,Zabbixproxy2,Warning
29-09-2023 09:22,Zabbix server: Utilization of http poller processes is high,29-09-2023 09:23,,0d 0h 1m 0s,Zabbix-Server-Active,Warning
29-09-2023 09:22,Zabbix proxy: has been restarted,29-09-2023 09:32,,0d 0h 10m 0s,Zabbixproxy2,Not Classified
29-09-2023 09:22,has been restarted,29-09-2023 09:32,,0d 0h 10m 0s,Linux Server,Information
29-09-2023 09:22,has been restarted,29-09-2023 09:31,,0d 0h 9m 43s,Zabbix-Server-Active,Information
28-09-2023 22:46,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,28-09-2023 22:50,,0d 0h 4m 3s,AICIN,Not Classified
28-09-2023 22:46,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,28-09-2023 22:50,,0d 0h 4m 3s,AICIN,Not Classified
28-09-2023 22:46,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,28-09-2023 22:50,,0d 0h 4m 3s,AICIN,Not Classified
28-09-2023 22:43,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,28-09-2023 22:44,,0d 0h 1m 31s,AICIN,Not Classified
28-09-2023 22:43,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,28-09-2023 22:44,,0d 0h 1m 31s,AICIN,Not Classified
